timestamp,watthour
2017/1/1 0:00,0
2017/1/1 0:05,0
2017/1/1 0:10,0
2017/1/1 0:15,0
2017/1/1 0:20,0
2017/1/1 0:25,0
2017/1/1 0:30,0
2017/1/1 0:35,0
2017/1/1 0:40,0
2017/1/1 0:45,0
2017/1/1 0:50,0
2017/1/1 0:55,0
2017/1/1 1:00,0
2017/1/1 1:05,0
2017/1/1 1:10,0
2017/1/1 1:15,0
2017/1/1 1:20,0
2017/1/1 1:25,0
2017/1/1 1:30,0
2017/1/1 1:35,0
2017/1/1 1:40,0
2017/1/1 1:45,0
2017/1/1 1:50,0
2017/1/1 1:55,0
2017/1/1 2:00,0
2017/1/1 2:05,0
2017/1/1 2:10,0
2017/1/1 2:15,0
2017/1/1 2:20,0
2017/1/1 2:25,0
2017/1/1 2:30,0
2017/1/1 2:35,0
2017/1/1 2:40,0
2017/1/1 2:45,0
2017/1/1 2:50,0
2017/1/1 2:55,0
2017/1/1 3:00,0
2017/1/1 3:05,0
2017/1/1 3:10,0
2017/1/1 3:15,0
2017/1/1 3:20,0
2017/1/1 3:25,0
2017/1/1 3:30,0
2017/1/1 3:35,0
2017/1/1 3:40,0
2017/1/1 3:45,0
2017/1/1 3:50,0
2017/1/1 3:55,0
2017/1/1 4:00,0
2017/1/1 4:05,0
2017/1/1 4:10,0
2017/1/1 4:15,0
2017/1/1 4:20,0
2017/1/1 4:25,0
2017/1/1 4:30,0
2017/1/1 4:35,0
2017/1/1 4:40,0
2017/1/1 4:45,0
2017/1/1 4:50,0
2017/1/1 4:55,0
2017/1/1 5:00,0
2017/1/1 5:05,0
2017/1/1 5:10,0
2017/1/1 5:15,0
2017/1/1 5:20,0
2017/1/1 5:25,0
2017/1/1 5:30,0
2017/1/1 5:35,0
2017/1/1 5:40,0
2017/1/1 5:45,0
2017/1/1 5:50,0
2017/1/1 5:55,0
2017/1/1 6:00,0
2017/1/1 6:05,0
2017/1/1 6:10,0
2017/1/1 6:15,0
2017/1/1 6:20,0
2017/1/1 6:25,0
2017/1/1 6:30,0
2017/1/1 6:35,0
2017/1/1 6:40,0
